Locality_ID,Cluster,Latitude,Longitude,Mean annual temperature,Total annual precipitation,Temperature range,Disturbance,Hemisphere,Continent,Pitfall days,Transect length,Species richness,PIE
Vasconcelos 1999_ORF,35,-2.35,-59.98333,27,2506,10.4,Disturbed,South,South America,144,20,49,0.9306678925
Vasconcelos_noyear_04,39,2.42,-59.87,27.2,1651,11.3,Undisturbed,North,South America,126,100,23,0.9050203525
Vasconcelos_noyear_06,39,2.42,-59.87,27.2,1651,11.3,Undisturbed,North,South America,126,100,31,0.9475945015
Vasconcelos_noyear_07,39,2.42,-59.87,27.2,1651,11.3,Undisturbed,North,South America,126,100,23,0.9394230767
Vele_etal_2009_06,67,50.71,15.21,5.6,685,26.3,Transformed,North,Europe,12600,20,11,0.700115588
Wallis_etal_2001_01,8,-31.04,121.11,17.9,275,27.7,Undisturbed,South,Oceania,70,100,27,0.106370423
Wallis_etal_2001_03,8,-31.04,121.11,17.9,275,27.7,Undisturbed,South,Oceania,70,100,28,0.5543674145
Wallis_etal_2001_05,8,-31.04,121.11,17.9,275,27.7,Undisturbed,South,Oceania,70,100,29,0.8895740536
Wallis_etal_2001_07,8,-31.04,121.11,17.9,275,27.7,Disturbed,South,Oceania,70,100,17,0.7918763795
Wallis_etal_2001_09,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,1,
Wallis_etal_2001_11,8,-31.04,121.11,17.9,275,27.7,Disturbed,South,Oceania,70,100,7,0.1334452522
Wallis_etal_2001_13,8,-31.04,121.11,17.9,275,27.7,Disturbed,South,Oceania,70,100,22,0.8712644556
Wallis_etal_2001_15,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,2,0.1116355571
Wallis_etal_2001_17,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,4,0.395872847
Wallis_etal_2001_19,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,13,0.1009999516
Wallis_etal_2001_21,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,18,0.8339424444
Wallis_etal_2001_23,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,18,0.6605259486
Wallis_etal_2001_25,8,-31.04,121.11,17.9,275,27.7,Transformed,South,Oceania,70,100,18,0.5113507166
Wallis_etal_2001_27,8,-31.04,121.11,17.9,275,27.7,Disturbed,South,Oceania,70,100,10,0.5958046485
Wallis_etal_2001_29,8,-31.04,121.11,17.9,275,27.7,Disturbed,South,Oceania,70,100,14,0.4048340308
Ward_2009_01,2,-36.79,174.5,15,1348,17.3,Transformed,South,Oceania,1008,25,8,0.4755244753
Ward_2009_03,2,-36.92,174.61,14.5,1265,17.4,Transformed,South,Oceania,1008,25,7,0.492381716
Ward_2009_05,2,-36.88,174.56,14.4,1301,17.3,Transformed,South,Oceania,1008,25,7,0.5602875601
Ward_2009_09,2,-36.89,174.62,14.9,1280,17.3,Transformed,South,Oceania,1008,25,9,0.5052219993
Willis_etal_1992_01,10,-30.5,26.25,15.4,474,31.5,Disturbed,South,Africa,180,2,13,0.6919498461
Willis_etal_1992_02,10,-30.5,26.25,15.4,474,31.5,Disturbed,South,Africa,180,2,14,0.6045567555
